,Country,Confirmed,Deaths,Recovered,latitude,longitude
132,Niger,582998.0,26080.0,462668.0,17.607789,8.081666
133,Nigeria,18550048.0,304316.0,14756231.0,9.081999,8.675277000000001
134,Norway,8017306.0,104350.0,3576443.0,60.472024,8.468946
135,Oman,26843187.0,262992.0,23834867.0,21.512583,55.923255000000005
136,Pakistan,97876012.0,2051060.0,85126431.0,30.375321000000003,69.345116
137,Panama,40751027.0,748507.0,33104025.0,8.537981,-80.782127
138,Papua New Guinea,136320.0,1507.0,113506.0,-6.314993,143.95555
139,Paraguay,15853227.0,326656.0,11770690.0,-23.442503,-58.44383199999999
140,Peru,210669284.0,8026551.0,179906679.0,-9.189967,-75.015152
141,Philippines,83828912.0,1666090.0,71554420.0,12.879721,121.77401699999999
142,Poland,156803863.0,3540353.0,116438495.0,51.919438,19.145135999999997
143,Portugal,66606747.0,1302237.0,49621446.0,39.399871999999995,-8.224454
144,Puerto Rico,3.0,0.0,0.0,18.220833,-66.590149
145,Qatar,35330197.0,55813.0,32820078.0,25.354826,51.183884
146,Romania,83701965.0,2302546.0,69034628.0,45.943160999999996,24.96676
147,Russia,511040684.0,9066743.0,406002541.0,61.52401,105.31875600000001
148,Rwanda,1651431.0,16133.0,1270041.0,-1.940278,29.873888
149,Saint Kitts and Nevis,7102.0,0.0,6283.0,17.357822,-62.782998
150,Saint Lucia,104548.0,1055.0,71811.0,13.909444,-60.97889300000001
151,Saint Vincent and the Grenadines,65336.0,167.0,32062.0,12.984305,-61.287228000000006
152,Samoa,208.0,0.0,166.0,-13.759029,-172.10462900000002
153,San Marino,421004.0,15933.0,341928.0,43.94236,12.457777
154,Saudi Arabia,86209563.0,1239069.0,78938043.0,23.885942,45.079162
155,Senegal,4338895.0,91609.0,3558405.0,14.497401000000002,-14.452361999999999
156,Serbia,38775342.0,435351.0,733305.0,44.016521000000004,21.005859
157,Seychelles,103010.0,279.0,80346.0,-4.679574,55.491977
158,Sierra Leone,643010.0,20058.0,458483.0,8.460555000000001,-11.779889
159,Singapore,15943959.0,8477.0,14631365.0,1.352083,103.819836
160,Slovakia,22563607.0,331353.0,16537695.0,48.669026,19.699023999999998
161,Slovenia,14993438.0,315731.0,12068871.0,46.151241,14.995463
162,Solomon Islands,2076.0,0.0,955.0,-9.645710000000001,160.156194
163,Somalia,1109079.0,31930.0,734837.0,5.152149,46.199616
164,South Africa,203234698.0,5391023.0,174566721.0,-30.559482,22.937506
165,South Korea,10510321.0,183710.0,8635401.0,35.907757000000004,127.766922
166,Spain,340195388.0,12140448.0,47509402.0,40.463667,-3.7492199999999998
167,Sri Lanka,5794639.0,27982.0,4811526.0,7.873054,80.77179699999999
168,Sudan,4654679.0,288711.0,2627611.0,12.862807,30.217636
169,Suriname,1223472.0,24271.0,1107599.0,3.9193050000000005,-56.02778299999999
170,Sweden,62491166.0,2088588.0,160063.0,60.128161,18.643501
171,Switzerland,58888046.0,1237571.0,39087583.0,46.818188,8.227511999999999
172,Syria,1641056.0,95275.0,751959.0,34.802075,38.996815000000005
173,Taiwan,196947.0,2398.0,169336.0,23.69781,120.96051499999999
174,Tajikistan,2777214.0,21288.0,2503960.0,38.861034000000004,71.276093
175,Tanzania,158762.0,6500.0,56074.0,-6.369028,34.888822
176,Thailand,2008123.0,19919.0,1684062.0,15.870032,100.992541
177,Timor-Leste,11300.0,0.0,9719.0,-8.874217,125.727539
178,Togo,673643.0,13201.0,540925.0,8.619543,0.824782
179,Trinidad and Tobago,1130505.0,20840.0,935510.0,10.691803,-61.222503
180,Tunisia,19107322.0,603148.0,13518148.0,33.886917,9.537499
181,Turkey,254001781.0,3539473.0,227506199.0,38.963745,35.243322
182,Uganda,4229964.0,35071.0,1716735.0,1.373333,32.290275
183,Ukraine,139235975.0,2603037.0,92998594.0,48.379433,31.16558
184,United Arab Emirates,39470202.0,150328.0,35295851.0,23.424076,53.847818000000004
185,United Kingdom,385499227.0,17619785.0,1082499.0,55.378051,-3.435973
186,United States of America,3201291312.0,72223040.0,503370956.0,37.09024,-95.712891
187,Uruguay,3047656.0,36202.0,2454552.0,-32.522779,-55.765834999999996
188,Uzbekistan,14242331.0,111562.0,13322305.0,41.377491,64.585262
189,Vanuatu,110.0,0.0,87.0,-15.376706,166.959158
190,Vatican City,4.0,0.0,0.0,41.902916,12.453389
191,Venezuela,19605554.0,175106.0,17703210.0,6.42375,-66.58973
192,Vietnam,326760.0,6938.0,267473.0,14.058323999999999,108.277199
193,Yemen,506009.0,144616.0,303050.0,15.552726999999999,48.516388
194,Zambia,5391390.0,95367.0,4771166.0,-13.133897,27.849332
195,Zimbabwe,3071659.0,96985.0,2404400.0,-19.015438,29.154857
